id,species,zone,geometry,generation,genetic_resistance,appetite,aggression,mobility,alive,mutated,hybrid
83,AB,3,POINT (2.1838235424823127 1.3145758031918513),1,0.3684974631477752,0.1565312775243304,0.0,0.33,False,False,True
84,AB,3,POINT (3.5356022999213614 2.1027655719087277),1,0.42,0.37,0.28,0.71,True,False,True
85,AB,3,POINT (3.2842979318007726 0.9396035563369911),1,0.59,0.68,0.36,0.68,False,False,True
86,AB,3,POINT (2.574524166944809 1.3042988995131715),1,0.43,0.38,0.54,0.68,True,False,True
87,AB,3,POINT (3.6652116656028877 2.206386946453683),1,0.82,0.65,0.15,0.64,False,False,True
88,AB,3,POINT (3.3887023007536143 3.079368373686993),1,0.53,0.56,0.3,0.4,False,False,True
89,AB,3,POINT (2.4975053648891086 2.2773064639771308),1,0.56,0.27,0.53,0.86,True,False,True
90,AB,3,POINT (3.0132761770937915 3.074022146430152),1,0.63,0.63,0.25,0.69,False,False,True
91,AB,2,POINT (3.2925746401550997 1.83111068474557),1,0.8013111669484476,0.4319159574939188,0.18042597849910563,0.76,False,False,True
92,AB,3,POINT (3.1711364972196496 2.6403949446329014),1,0.74,0.74,0.55,0.32,False,False,True
93,AB,3,POINT (3.8289720007445207 2.3230351126434403),1,0.4049176919920916,0.18882868647819234,0.18375216610005118,0.6,True,False,True
94,AB,2,POINT (2.8118738721862533 2.163337618282815),1,0.3857433856868607,0.21517239694935839,0.27032083428178577,0.88,False,False,True
95,AB,3,POINT (3.027231614383174 1.8928736551040666),1,0.9394324832334647,0.2467337487647924,0.4461311979829379,0.71,True,False,True
96,AB,3,POINT (3.1092124792989058 3.2068362339863272),1,0.94,0.33,0.54,0.72,True,False,True
97,AB,3,POINT (2.6760482182416325 2.1901181970683457),1,0.91,0.76,0.4,0.55,False,False,True
98,AB,3,POINT (2.8736755406101677 0.3785884947248246),1,0.4,0.79,0.25,0.61,False,False,True
99,AB,1,POINT (3.1601797798120197 1.0509711274334177),1,0.8302452332526746,0.3375556206826792,0.5167130481505509,0.81,True,False,True
100,AB,2,POINT (3 2.0000000000000004),2,0.76,0.31,0.12,0.48,True,False,True
101,AB,3,POINT (3 2.0000000000000004),2,0.85,0.38,0.24,0.58,True,False,True
102,AB,1,POINT (3 2.0000000000000004),2,0.67,0.3,0.3,0.62,True,False,True
103,AB,2,POINT (3 2.0000000000000004),2,0.76,0.38,0.35,0.52,True,False,True
104,AB,1,POINT (3 2.0000000000000004),2,0.7514212508229321,0.3327293087562384,0.17712547160735814,0.55,True,False,True
105,AB,3,POINT (3 2.0000000000000004),2,0.6610988286891923,0.290849161588735,0.22166131838039915,0.62,True,False,True
